User,I consider myself a movie enthusiast,Group,is_CS,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17
05a2cbe2-0499-4943-b610-4abb89e12331,1,0,FALSE,6,6,5,7,7,7,7,7,5,4,4,6,6,7,As recomendações foram totalmente justas. 90% dos filmes que eu gosto.,7,6
1fb71738-4769-48bf-a8dd-5ab4d9ba7fed,1,0,FALSE,6,6,1,6,3,7,4,5,5,6,4,6,7,7,Quando se basei em poucas opções para recomendar se torna injusto,7,7
502f6d52-8e99-4505-9447-5eb35a651e88,1,0,FALSE,4,3,3,2,7,7,7,6,5,6,7,4,3,4,Não sei,4,7
445650d6-951c-49a8-a454-fd2a96e24bc8,1,1,FALSE,7,7,7,7,7,7,6,7,5,6,7,7,7,7,"Consideraria injustas se levassem em conta algum tipo de patrocínio que desse preferência para algumas opções de filmes, pois isso levaria os mais ""ricos"" a terem mais chances de serem assistidos.",7,7
ae6068ce-9e64-4a0a-ab9c-3423e40fdf42,1,1,FALSE,6,6,7,7,7,6,7,7,5,7,5,6,6,6,Seria injusto se eu mencionasse um gênero e o sistema me sugerisse filmes de gêneros muito diferente.,7,7
0376425f-af2b-4d4e-a185-1bfb57ed77f4,1,2,FALSE,3,2,1,1,4,3,5,1,5,3,4,3,4,5,"Percebi que a maioria das indicações fugiu um pouco dos temas que selecionei. Então a recomendação foi injusta uma vez que foi difícil escolher entre os filmes selecionados. Porém, quando essa recomendação se encaixa os gêneros escolhidos, seria perfeito.",5,5
2e04f0fb-baf9-4084-a70a-fa007ea1ba10,1,2,FALSE,6,7,3,7,6,7,7,6,5,6,5,6,7,7,É complicado mas acredito que seria injusto se fosse levado em conta popularidade em redes sociais ou bilheterias ou o que esteja na moda.,7,7
5a3ee1d8-c08d-49de-97c4-5434c97d0ff8,1,2,FALSE,5,3,6,5,6,3,7,7,5,5,3,6,5,5,"Acredito que as recomendações se tornam justas quando pesquisamos sobre um determinado assunto e automaticamente entra uma propaganda sobre um filme com tema parecido, o que nos ajuda a lembrar para assistirmos",5,6
b5baabc6-462e-47a1-ab07-2de547bc2e37,1,2,FALSE,6,6,1,6,4,7,7,7,5,6,4,7,7,7,"Levando em consideração os algoritmos dessa pesquisa achei justa, as recomendações são de filmes que gosto muito, e lendo em consideração o filme que selecinei acho q vou gostar muito. Agr falando de outros muitas vezes deixa a desejar pois os filmes que eles mostram a maioria das vezes nao tem nada haver cmg",7,7
c22a67b8-e7e8-4c9b-a431-f18f0b34e3eb,1,2,TRUE,6,6,1,5,7,5,6,6,5,4,4,5,5,1,"Acho que uma recomendação de um filme anterior de uma saga quando o sistema sabe que os próximos já foram vistos pelo usuário não seria uma recomendação justa.
 Além disso, recomendar muito do mesmo gênero ou saga que o sistema sabe que o usuário consome ou gosta mais nem sempre pode ser justo, visto que o usuário às vezes quer ver algo novo mas que ainda agrade seus gostos.",7,7
fe38539b-559a-475c-967f-29ef6f1ba2ed,1,2,FALSE,6,6,6,7,7,3,7,6,5,2,4,6,7,7,"Justa por que me indica filmes que geralmente vou gostar ou vou querer assistir.
 
 Injusta por que algumas vezes gostaria de descobrir algo novo e sempre são recomendados os mesmos estilos.",6,6
edd8313f-1e67-4c5f-8a21-8edb09905df7,1,4,FALSE,6,6,7,6,7,6,6,6,5,4,3,4,5,5,"Percebi muitos filmes populares que já estão bem visíveis para mídia o que acaba sendo injusto, em contra partida foram recomendados filmes que nunca tinhas visto ( em menor número).",7,7
171dfaeb-9fd3-4591-82a7-75cc3f83717b,1,5,TRUE,6,7,4,7,7,6,7,6,5,7,4,5,6,7,"Em minha opinião, recomendações justas são quando filmes de baixo orçamento e baixa popularidade tenham a devida chance de serem recomendadas pelo recomendador. Assim, não recomendando apenas filmes com muitas avaliações",7,7
2f5da543-4bdc-4363-9e48-8d58e5159968,1,5,FALSE,4,1,1,4,3,6,7,4,5,6,1,3,4,1,Filmes que estão fora do Padrão familiar,5,4
a393aba5-afb8-462e-a4ca-f661c8fe88a9,1,5,FALSE,6,4,7,1,4,3,7,7,5,5,2,4,4,4,Não sei,7,7
28e8842b-f19f-4966-8cc1-5b51cbd7a657,2,0,FALSE,6,6,5,7,3,6,7,6,5,6,6,6,6,6,Todas foram justas.,7,7
1aa22b1d-85f1-463b-a36c-a78e8142d110,2,1,TRUE,6,5,6,5,5,7,6,7,5,7,6,5,6,5,"Considero justo a recomendação de filmes que tenham características parecidas com as de minha preferência, mas que sugere filme não tão famosos ou de baixo orçamento.",7,7
5ded4c4e-8273-4228-8d3a-044852bb4f29,2,2,FALSE,6,6,1,7,7,7,4,6,5,7,4,4,4,6,"A seleção foi de acordo com os filmes que a avaliei, mas da seleção apenas 2 não me lembro de ter assistido, então acho que faltou novidade, considerando principalmente que alguns deles inclusive era sequência dos avaliados.",7,7
7d46e95b-ee26-4411-ae86-8ff0512a3cc3,2,2,FALSE,6,7,7,7,6,7,7,7,5,6,4,6,7,7,"São injustas quando indicam algo totalmente fora do seu gosto, pois se damos informações queremos ver o que combina.",3,7
8a31a461-251b-46ec-8edc-bf6aaf907ed7,2,2,FALSE,5,5,3,6,7,7,7,7,5,6,4,5,5,3,"As recomendações foram justas dentro do minúsculo campo utilizado na pesquisa. Existiam poucas opções/variedades, o que fez parecer que a IA apenas selecionou gêneros parecidos com os que marquei mais estrelas. 
 Acredito que seria melhor avaliado em um campo mais amplo que este.",6,7
0b3a1aa7-cf97-4ac3-bad7-1d008786c712,2,3,FALSE,5,4,3,4,6,6,5,5,5,7,2,4,4,3,"Justa, por exemplo um autor específico o mesmo em todas as opções apresentadas",5,6
5afd1ac9-cb0c-4892-8ba7-c88115e40bc2,2,3,FALSE,6,6,5,6,7,6,5,6,5,4,3,5,5,5,Não sei responder esta pergunta.,6,6
68ffcea8-ec87-4c8e-b6cd-6327e268dabc,2,3,FALSE,4,2,1,2,1,5,6,4,5,6,7,3,3,1,"Justa no quesito animação e comédia romântica.
 Injusta por ser indicar filmes dos quais nem ouvi falar.",5,5
c3f05014-0e27-4bad-8872-ff5aae632786,2,3,FALSE,7,6,4,3,4,5,6,6,5,6,4,6,6,6,"Admito que achei a questão difícil para decidir o que escrever. 
 Talvez injustas aquelas que foram muito divulgadas ou são de grandes estúdios. Que acabam sendo muito presentes nas redes sociais, como tt e hashtags.
 Justa talvez se forem avaliadas por rankings que classificam de forma não anônima e então não serão vítimas de haters.",6,6
0a7a41cf-fffd-4b1f-944e-61df80029adf,2,4,FALSE,1,1,6,2,4,1,6,6,5,2,4,2,2,2,"O sistema me deu poucas opções de escolha e algumas das sugestões de filme eu não conhecia nem de ouvir falar. Há pouca aba de pesquisa sobre os filmes que já assistimos, prs escolher melhor algo que mais se adeque ao meu gosto",6,6
2c052b1f-0997-483c-8ea4-613e3e3f5e45,2,5,FALSE,6,6,3,7,6,7,7,7,5,6,5,6,7,7,"Justas, quando estou está sem ideia do que assistir. Esse sistema pode ajudar bastante",7,6
362b46c7-7bc5-4967-a606-2aebe799ac90,2,5,FALSE,6,6,7,6,7,2,7,7,5,4,2,6,7,6,"Seria injusto se as recomendações não me dessem a chance de conhecer novos filmes e gêneros baseados nos que já gosto, deixando boas opções de lado por conta de avaliações em um mesmo gênero, por exemplo, quando sou aberta a novas sugestões. A situação contrária seria justa, entregando uma vasta opção de gêneros para o usuário em busca de aumentar seu conhecimento cinematográfico e lhe dar opção de expandir seu horizonte.",7,7
3f78614a-2b9e-4803-bbe5-d11288678088,2,5,FALSE,5,2,4,5,5,6,4,5,5,7,6,4,4,2,"Não existe recomendação injusta, mas tinham poucos filmes pra avaliar, o q causou uma mudança nos recomendados.",5,5
7431018c-82e5-4254-a676-79befaf94c2b,2,5,TRUE,6,6,5,4,4,2,7,7,5,6,3,7,7,7,"Em nenhum caso, pois por mais que não seja uma ""boa"" recomendação, a decisão de assistir cabe apenas ao usuário!",7,7
9fb6ebbd-20db-4af4-b80f-7db69f2ec470,3,0,FALSE,6,7,7,7,5,6,7,7,5,7,2,7,7,6,As recomendações foi de acordo com os temas que eu gosto.,6,6
2883749d-1cce-46f1-b437-35de0652ce41,3,1,FALSE,6,3,6,4,3,3,6,6,5,3,2,5,4,5,"Para mim todas recomendações que envolvem arte ou cultura são justa, mesmo que não seja totalmente do seu gosto. Pois ela pode te levar a conhecer algo novo e diferente se vc se abrir a indicação feita a vc.
 Sendo assim eu nunca consideraria uma indicação de filme injusta.",7,6
361a7ba1-77a0-442c-95fd-59e25ddacaf8,3,1,FALSE,2,1,3,1,6,5,3,3,5,3,4,3,3,1,",",6,5
7c127d77-3f0b-4d9f-b5df-53be60dab27b,3,1,FALSE,6,5,6,2,6,3,6,7,5,5,4,5,6,6,Quando realmente são recomendação de coisas que eu gosto,7,7
7c138c87-2923-46c7-a16e-79bd4202e36a,3,2,FALSE,6,6,3,7,6,7,5,7,5,6,3,6,7,7,"Acho injusto recomendar as sequências, normalmente quando assistimos o primeiro já vimos a sequência também aí acaba que o aplicativo não ajuda.
 E acho super justo recomendar filmes do mesmo ator ou diretor, isso é super útil.",7,7
1416a2eb-3e93-4ded-8f5f-223ebca2356a,3,3,FALSE,7,6,1,5,4,5,7,7,5,5,4,6,6,6,"Dependo de como utilizam o algoritmo será injusto aqueles que favorecem filmes em alta que na verdade não vai tanto pelo gosto da pessoa mais sim pela procura em massa. Justo quando acabam selecionando por categorias, dando um caminho a se seguir no meio de tantos.",7,7
8dca6a1e-cb2b-4347-abf1-058c1d28bba9,3,3,FALSE,5,6,4,7,4,6,7,7,5,7,4,5,6,4,"Injusta se o algoritmo selecionasse e recomendasse apenas filmes de maior relevância e popularidade dentre as críticas, o que faria com que as menores produções, que naturalmente já possuem menor visibilidade, continuassem no mesmo patamar.",7,7
a41a8bc3-e6b8-4a5b-b1ba-8c859118fce9,3,3,FALSE,6,6,6,5,6,7,6,7,5,5,5,6,6,6,Pela avaliação de outras pessoas que assistiram,5,6
a96cf29f-3bfe-411f-a704-0f7d108bb93a,3,3,TRUE,5,5,4,6,5,5,6,6,5,5,6,5,6,6,"Imagino que o argumento da mídia em relação a ser injusto, é o fato de uma pessoa que está em uma 'bolha"" continuará nela devido ao algoritmo buscar sempre a eficiência nas recomendações. Concordo em partes com isso, imagino que uma maneira de se diminuir esse efeito seria recomendação de filmes com gêneros e orçamento distintos dos que a pessoa está acostumada, dessa forma um novo interesse pode surgir. Quanto as recomendações que vcs fizeram, acabou que não ficou tão preciso pois eu não conhecia muito dos filmes da amostragem inicial, portanto imagino que meu perfil não tenha ficado tão preciso.",6,6
fa5549b4-621e-4299-9219-256216a72fbf,3,3,FALSE,5,3,3,3,5,3,5,5,5,5,3,5,5,5,Não achei injusta. Foi baseado no que assisti anteriormente,5,5
2bc53d92-3fc4-462e-b975-67b300fa953a,3,4,TRUE,6,6,5,7,7,7,7,7,5,7,7,6,7,6,"Em geral, a justiça do algoritmo no contexto da recomendação de filmes poderia estar associado a vieses e a itens “inválidos” de acordo com a sociedade local.",7,7
63ebfc2a-cfb3-47cd-a2dc-669538a8c4a9,3,4,FALSE,5,6,7,1,6,6,7,7,5,7,3,6,4,7,"Injustas no sentido de que se eu prefiro filmes mais novos, é ""injusto"" a recomendação de filmes mais antigos.",7,7
7891e525-cc08-477e-9b5b-d9465bb4ba27,3,4,FALSE,7,7,6,7,7,7,6,5,5,7,4,7,7,7,Caso recomendasse um filme totalmente diferente do gênero que a pessoa mais assiste,5,7
cdca9c48-7983-4327-b3f8-437093102dd6,3,4,TRUE,6,6,7,7,7,7,7,6,5,7,6,6,6,6,"Recomendação de itens fortemente relacionada a popularidade, avaliações ou orçamento prejudica a visibilidade (justiça) de itens com menor expressividade nesses aspectos",7,7
49710f55-e4b4-4e06-bf73-50e6966072db,4,0,FALSE,7,7,7,7,7,7,7,7,5,5,5,7,7,7,Em casos injustos seria basear sugestões com apenas a escolha de um filme ou gênero.,7,7
81b25da4-57b3-45af-bea1-15081f21e5e0,4,0,FALSE,6,5,4,2,6,7,7,7,5,5,5,7,7,4,"Não achei as recomendações injustas, achei bem pertinentes. Porém poderia apresentar mais opções, 70% eu já havia assistido.",7,7
a2642220-dca3-4180-a068-c1e87c37609f,4,0,FALSE,7,7,6,6,5,7,7,7,5,7,5,7,7,7,"Considero justas quando me apresentam sequências de filme que ainda não assisti.
 Injustas quando não me apresentam filmes muito bons por estarem fora do que foi definido como minha preferência.",7,7
c0fc6226-12e0-4777-8b74-e0b3fe8af6b2,4,0,FALSE,6,6,3,7,7,7,7,6,5,7,4,7,6,7,"Dependendo dos termos indexados relacionados aos filmes, algumas sugestões poderiam ser injustas, se nesse caso o termo (ou termos) em questão esteja em desacordo com a proposta do filme. Nesse caso específico a recomendação não seria satisfatória, e do mesmo modo, se os indexadores estiverem em acordo com a proposta do filme, seria uma recomendação justa. 
 
 *Muito interessante a proposta de pesquisa e objeto de estudo!",7,7
e16fc16a-6144-4723-9d68-19631306f8d0,4,0,FALSE,2,1,3,1,4,3,6,2,5,5,5,2,4,5,"Não acredito que foi injusto mas, o algoritmo não recomendou filmes bons",7,7
e5590a79-8c30-4697-b019-ec36dcd7cfd2,4,0,FALSE,5,5,4,7,6,7,6,6,5,7,5,6,6,6,"As recomendações são justas quando oferecem opções condizentes com o gosto demonstrado, se tornam injustas quando se distanciam demais e não atendem ao seu propósito",6,6
27eb2741-3fa5-4608-9f8a-c1d436050284,4,1,FALSE,5,7,5,7,7,7,7,7,5,4,2,6,6,7,Acredito que todas as recomendações foram justas e de acordo com o meu gosto pessoal ao avaliar.,7,7
41d21feb-da90-401c-aa32-b27c29c74c2c,4,1,FALSE,6,6,4,5,5,6,7,7,5,7,4,6,4,6,"Acredito que é justo as sugestões baseados no que vimos, mostrando opções semelhantes e nós dando melhor tempo para achar algo que gostamos.
 Não vejo nada injusto, sendo dado a opção de forma a filmes baseados no que já vimos.",7,7
5177a87e-ff4e-4417-9f03-ca6062a8d700,4,1,FALSE,6,4,5,3,4,6,5,6,5,3,4,5,5,5,As recomendações foram justas baseadas nas minhas escolhas,6,7
8cb03397-edc8-43dc-a0f7-55c73053b26f,4,1,FALSE,4,3,2,2,5,6,7,7,5,5,6,5,4,7,Quando não há popularidade e conteúdo que possa contribuir para aprendizado e reflexão.,7,7
ae6a45ae-0cf3-4c35-8be1-876cd1e9fd30,4,1,FALSE,6,5,2,3,4,7,7,6,5,6,6,6,6,5,"Tudo depende do que me for recomendado, se não tiver nada a haver com meu gosto ou com que eu estava pedindo não vou gostar, mas se for um filme que não conheço mas que esta dentro dos gêneros que eu gosto não vejo problema.",7,6
b685a0c2-316f-4a25-9671-0db0dcc6786b,4,1,TRUE,6,5,1,1,5,6,7,7,5,6,6,5,6,6,"No caso em que fosse recomendado filmes de gêneros no qual a pessoa não gosta seria injusto.
 No caso em que fosse recomendado filmes que tem estilo parecido com os que ela escolheu seria justo",7,7
dcd81319-43cb-4103-9eaa-27a45a477a96,4,1,FALSE,6,6,7,5,7,3,7,7,5,6,5,7,7,7,Não sei,7,7
ee25ded1-2729-45f9-8510-7180a78899f3,4,1,FALSE,6,6,6,6,5,7,7,7,5,6,4,4,5,5,Algo que não esta ligado ao que a pessoa escolheu de fato,4,4
fe3fb1a0-d6bc-4915-abdc-79bff4961b09,4,1,FALSE,6,6,1,6,4,7,7,7,5,7,1,4,6,4,"Colocou bastante desenho, sim eu gosto de desenhos e tenho filhos, mas gostaria de que tivesse aparecido filmes para adultos interessantes e que eu não tivesse assistido ainda.",4,4
06dbde1b-6fe0-4b3b-89e5-9ebc5d2aa843,4,2,FALSE,4,6,5,6,7,7,7,7,5,7,4,5,6,6,"Se não tivesse ofereciro opções parecidas com a primeira enquete, seria injusto, pois eu teria perdido tempo avaliando alguns filmes esperando sugestões parecidas.
 Nesse caso, acredito que foi justa. Apesar de ja ter assistido todos os filmes sugeridos, foram sugeridos filmes sobre temas que eu gosto.",6,6
178dc679-022a-4ca4-84e2-ebb1e7589551,4,2,FALSE,7,7,7,1,1,7,7,7,5,6,4,4,6,6,Não as consideraria. As recomendações foram justas com base em filmes e gêneros que eu gosto de assistir,6,6
5acf314c-cf32-4e27-854c-df77006c9b64,4,2,FALSE,5,6,1,6,7,7,7,7,5,6,6,5,5,5,"Creio que muitas das recomendações foram filmes que eu já havia assistido, até mesmo pois já havia avaliado no início.
 Creio que deveria se recomendar outros filmes de temas parecidos, e não apenas os diferentes de alguma saga ou algo.
 Porém, o intuito do sistema é incrível, e pode-se ter sucesso se for bem aperfeiçoado.",7,7
5de8d491-a18d-4cb6-a725-8fa2c5c66aa5,4,2,FALSE,6,5,6,7,7,7,7,7,5,7,5,7,5,7,"Acredito que o sistema tende a deixa de fora muitas opções caso sua base não seja bem abastecida e pode privar o usuário de ter novas experiências, no quesito outros gêneros, pois irá sempre utilizar como base o que já foi visto. No geral achei que o algoritmo tem um bom filtro para pessoas indecisas ou que queiram filmes diferentes sem fugir da sua zona de conforto (como eu).",7,7
604e5239-92cf-4e6c-a7e7-da29f9c2c035,4,2,FALSE,4,7,4,6,7,7,7,7,5,6,7,6,6,6,Eu consideraria as recomendações injustas caso houvesse algum gênero de filme que eu não avaliei.,7,7
eb13620b-5e6b-4630-bf37-70e2a02b367e,4,2,FALSE,6,4,5,6,7,7,5,4,5,6,5,6,3,5,"Injustas: O filme foi recomendado fora dos gêneros que eu escolhi ou apenas pelo hype dele
 
 Justas: O filme foi recomendado conforme os gêneros que eu selecionei e estão no meu padrão de gêneros que gosto",6,7
f2a43f52-78f4-4cbe-8994-92e85097f7c1,4,2,FALSE,5,5,1,5,4,1,7,5,5,2,4,2,2,2,"Muitos filmes já conhecidos, com chances de já terem sido vistos.",7,7
4c366b47-a86f-41d4-ab98-9c1b008c6a01,4,3,FALSE,4,3,3,3,4,2,5,4,5,3,4,3,4,2,Foram recomendados filmes que eu tinha marcado que já tinha assistido.,6,6
4ef15762-40e1-4e5b-9775-a9f15efa3bc5,4,3,FALSE,4,3,1,4,4,6,7,6,5,5,6,3,4,2,Muitos já tinha visto,7,6
81332e2c-64bd-4cb0-91ed-bdfb3daafb81,4,3,FALSE,4,5,6,4,6,2,6,7,5,5,4,5,5,3,Aparecem em sua maioria filmes que nunca vi uma boa publicidade e nem do gênero que gosto.,4,6
81ec5af4-7633-4114-897e-bfa091f3604f,4,3,FALSE,5,7,5,7,7,7,7,7,5,7,5,6,7,7,Não problemas na recomendações de filmes,5,4
a0f7b785-2774-4445-b959-a6c91cc470ba,4,3,FALSE,7,6,7,6,2,7,7,6,5,7,4,5,6,7,"No caso de conhecer a pessoa? justa
 injusta quando são filmes aleatórios independente das outras pessoas",6,6
c4512228-f32a-4c04-abdb-52fca7ce8f93,4,3,FALSE,6,6,7,5,6,3,7,6,5,7,6,7,5,7,Tenho dificuldade com classificação de temas e idade. E de vez em quando aparecem filmes que eu acho que não são do tema.,7,7
01e7b778-ddbe-40d5-8d07-77b55fb0dd21,4,4,FALSE,6,7,1,7,7,7,7,7,5,5,3,7,7,7,Quando não dão um gênero ou algo que não falamos .,7,7
1e72613e-754a-424b-9722-1aadd51236b4,4,4,FALSE,6,4,7,5,7,3,7,7,5,4,2,4,7,7,Se não levasse em consideração o que errou acostumada a assistir,7,7
50ca68a3-a918-4933-8690-d62ce2bacc0f,4,4,FALSE,4,3,7,6,7,6,5,6,5,6,2,4,5,6,"Justas nos filmes infantis, pois sao meus favoritos, ja os outros nem tanto pois nao sao meu genero favorito",6,4
68e57b96-42eb-44d9-9e3b-3dc5b6120291,4,4,FALSE,6,6,6,6,4,6,6,6,5,6,4,6,6,6,Consideraria justa com base nas minhas visualizações de filmes parecidos,6,6
a2f89856-a7cb-4159-a19c-ba4639b1593b,4,4,FALSE,4,6,3,6,4,7,7,6,5,7,6,5,4,4,"Acho que foi bem fiel ao meu gosto, porém já assisti a 90% deles",5,5
c066ccd1-b37f-4904-9602-b16ba571c6b0,4,4,FALSE,7,6,6,6,7,7,7,7,5,6,2,7,7,7,Acredito que as recomendações foram justas e se adequaram aos filmes que havia avaliado previamente.,7,7
c32fa66a-a33f-47c7-b5b8-8dd49a353f7a,4,4,FALSE,5,5,5,5,5,3,5,5,5,5,3,4,5,5,"Se fossem sugeridos filmes em recomendações por nome similares, quanto a recomendação por gênero acho ótima",6,6
0d9e99de-a6b3-462d-b049-73f758abfd1d,4,5,FALSE,7,6,1,7,6,7,7,7,5,6,4,6,6,7,"Achei injusta pela quantidade de filmes da primeira fase, poucas sugestões para avaliação. Por isso acabou sendo um pouco injusta. Mas diante do que foi apresentado, as sugestões para mim foram justas",7,7
28a504f7-12eb-4021-a6be-4372d4cf8c86,4,5,FALSE,7,7,4,7,7,7,7,7,5,6,4,7,7,7,"É injusto quando recomenda somente filmes populares, quando filmes com pouca popularidade também podem ser ótimos.
 Mas na maioria das vezes é um bom sistema pois recomenda filmes com base no gosto pessoal de quem usa.",7,7
30d690f5-737b-485a-9cf0-fabd5c195842,4,5,FALSE,2,4,4,2,4,6,4,4,5,6,5,2,4,1,"Os filmes que foram recomendados não são o tipo de filme que eu geralmente assisto. Acho que seria necessário entender primeiro pra quem vc vai indicar filmes, para assim indicar de acordo com o gosto da pessoa",7,7
4f2431d2-3bd6-48a1-bfab-2c7ee565f125,4,5,FALSE,7,6,1,7,7,7,5,7,5,7,3,6,7,7,"Acho justo que o algoritmo mostre escolhas em conformidade com meus gostos e costumes e o que as pessoas estão assistindo mais. Porém muitas opções se perdem, sem a gente saber que existem.",6,6
9d0dcef9-74f0-47c2-b08c-ce5cb0fc6ad4,4,5,FALSE,7,7,7,7,7,7,6,6,5,6,6,7,7,7,"Nas recomendações poderiam colocar mais filmes atuais, pois muitos que foram já assisti então seria decepcionante ter filmes que já foi visto nas recomendações. colocar por gênero e perguntas sobre o gosto, resultaria talvez uma recomendação melhor no final, junto com filmes da atualidade.",7,6
9e601ce8-a7d5-4c1f-b587-61c10756cedb,4,5,FALSE,7,7,7,7,7,7,7,7,5,5,4,7,6,7,Consideraria injusto quando eu procurasse determinado gênero e não aparecesse boas indicações,6,6
c0368430-be9a-464c-9bc0-dae44e478208,4,5,FALSE,5,4,2,6,5,6,4,7,5,4,3,5,6,6,Quando não as recomendações não estão ligadas a minha pesquisa,4,5
dccc10a8-7adb-4707-8315-fcd1a280fa71,4,5,FALSE,6,7,7,7,7,7,7,7,5,5,5,7,7,7,......,7,7
e81b5cde-efcb-4f56-b704-bc51ad4bdae5,4,5,FALSE,4,4,1,4,7,7,7,6,5,4,4,7,6,6,Algumas foram injustas pois não tinham absolutamente nada a ver com meu gosto para filmes,4,7
15e0eb6b-41ea-4e9c-bb5b-8aaa86445e2e,5,0,FALSE,7,6,6,4,6,6,7,6,5,7,6,7,6,6,Não sei responder essa questão.,7,7
1c5d8e79-9a9a-46b6-a8aa-237c25f30eba,5,0,FALSE,6,6,6,7,7,5,7,5,5,7,7,7,7,7,Sugestão de filmes baseado em apenas um gênero,7,7
3ca21865-632b-4b71-9473-200ec6bd65fd,5,0,FALSE,5,6,2,6,5,7,6,6,5,4,4,6,5,2,Consideraria injusto se me indicasse filmes que não combinam com meus gostos,6,6
3fae477b-46ef-46f0-98e1-91b700edb88a,5,0,FALSE,6,6,7,7,7,3,7,7,5,4,4,7,7,7,"Acho que deveria ter apenas um filtro de idade, para que não fossem recomendados filmes +18 para menores, no mais, para mim o sistema funcionou",7,7
4681d994-3bb1-48d1-b6b4-06dd08ccc781,5,0,FALSE,7,6,1,7,1,7,4,4,5,4,4,6,6,6,"Acharia injusto se só mostrasse filmes famosos e que tem alto orçamento quando nem são tão bons assim e deixasse os filmes realmente bons, mas pouco conhecidos e baixo orçamento, de fora do catálogo de sugestões",7,7
